,media,desvio_padrao,assimetria
fixed acidity,6.854787668436097,0.843868227687513,0.6477514746297539
volatile acidity,0.27824111882400976,0.10079454842486534,1.5769795029952025
citric acid,0.33419150673744386,0.12101980420298249,1.2819203981671066
residual sugar,6.391414863209474,5.072057784014881,1.0770937564240868
chlorides,0.04577235606369946,0.021847968093728798,5.023330682759711
free sulfur dioxide,35.30808493262556,17.00713732523259,1.4067449205303078
total sulfur dioxide,138.36065741118824,42.49806455414291,0.3907098416536745
density,0.9940273764801959,0.0029909069169369337,0.9777730048689898
pH,3.1882666394446715,0.1510005996150668,0.4577825459180807
sulphates,0.48984687627603113,0.1141258339488323,0.9771936833065663
alcohol,10.514267047774602,1.230620567757318,0.4873419932161276
